Area,Production,GDP,Annual Growth Rate (%),Inflation,Rainfall,Price,Temparature
102,321,33668,0.003,0.0401,2763.2,1139,26.6
83,300,34352,0.0186,0.0378,3080.9,864,26.85
189,511,35796,0.043,0.043,2620.2,964,27
52,90,41572,0.1608,0.0381,2355.9,945,27.3
53,73,47728,0.1482,0.0377,2460.1,1309,27.35
2,12,54340,0.1387,0.0425,2954.7,1009,27.4
4,10,103208,0.232,0.1199,3157.1,1030,27.8
10779,31863,33668,0.003,0.0401,2763.2,1139,26.6
9718,27033,34352,0.0186,0.0378,3080.9,864,26.85
6854,18996,61332,0.1285,0.058,2404.7,1094,27.05
6791,20118,103208,0.232,0.1199,3157.1,1030,27.8
10696,31601,35796,0.043,0.043,2620.2,964,27
10509,30761,41572,0.1608,0.0381,2355.9,945,27.3
10682,29120,47728,0.1482,0.0377,2460.1,1309,27.35
8683,25871,54340,0.1387,0.0425,2954.7,1009,27.4
922,2540,61332,0.1285,0.058,2404.7,1094,27.05
1596,3788,103208,0.232,0.1199,3157.1,1030,27.8
35600,75400,31540,0.0389,0.0716,835,968,28.84
18000,37300,31540,0.0389,0.0716,835,968,28.84
38300,96800,31388,-0.0053,0.1323,948.1,939,29.1
26600,63900,31388,-0.0053,0.1323,948.1,939,29.1
37991,105082,33592,0.0694,0.0467,537.2,1009,29.23
20258,45669,33592,0.0694,0.0467,537.2,1009,29.23
39905,117680,33668,0.003,0.0401,871.3,1139,29.59
22099,57236,33668,0.003,0.0401,871.3,1139,29.59
32878,95609,34352,0.0186,0.0378,924.5,864,29.86
38119,108906,34352,0.0186,0.0378,924.5,864,29.86
29066,66329,35796,0.043,0.043,615.2,964,29.9
10960,20462,35796,0.043,0.043,615.2,964,29.9
17515,44891,41572,0.1608,0.0381,725.5,945,30.2
10826,25463,41572,0.1608,0.0381,725.5,945,30.2
24335,85051,47728,0.1482,0.0377,741.7,1309,30.24
9240,21622,47728,0.1482,0.0377,741.7,1309,30.24
25008,69972,54340,0.1387,0.0425,1066.4,1009,30.4
23142,55587,54340,0.1387,0.0425,1066.4,1009,30.4
22349,67427,61332,0.1285,0.058,638.1,1094,30
10846,31974,61332,0.1285,0.058,638.1,1094,30
30000,95000,78128,0.2747,0.0637,980.6,1284,30.12
14000,37000,78128,0.2747,0.0637,980.6,1284,30.12
30306,94615,75924,-0.029,0.0835,798,1494,30.5
18416,49815,75924,-0.029,0.0835,798,1494,30.5
32226,101512,83752,0.1036,0.1088,688.2,1575,29.87
19428,46899,83752,0.1036,0.1088,688.2,1575,29.87
34973,102007,103208,0.232,0.1199,963.5,1030,29.7
24828,69394,103208,0.232,0.1199,963.5,1030,29.7
37720,94531,110808,0.0741,0.0886,738,1110,27.6
10948,25542,110808,0.0741,0.0886,738,1110,27.6
22056,58691,109744,-0.0098,0.0931,715,1250,27.55
6998,17768,109744,-0.0098,0.0931,715,1250,27.55
28114,59377,110200,0.004,0.1106,762.6,1345,27.75
12283,28558,110200,0.004,0.1106,762.6,1345,27.75
